Kennel ID,Animal ID,Animal Name,Animal Type,Primary Color,Secondary Color,Sex,DOB,Intake Date,Intake Condition,Intake Type,Intake Subtype,Reason for Intake,Outcome Date,Crossing,Jurisdiction,Outcome Type,Outcome Subtype,latitude,longitude,intake_is_dead,geopoint,intake_duration,is_current_month,outcome_is_dead,outcome_is_current,outcome_is_other,outcome_is_alive,was_outcome_alive
357704,A721918,NULL,WILD,GRAY,BLACK,Unknown,,30/05/2024,INJURED  MODERATE,WILDLIFE,FIELD,NULL,30/05/2024,",.5000 AIRPORT PLAZA DR, LONG BEACH, CA 90815",LONG BEACH,TRANSFER,LBAH,33.8071004,-118.1345647,Alive on Intake,"33.8071004, -118.1345647",0,FALSE,FALSE,FALSE,FALSE,TRUE,1
342137,A693708,*CHARLIEN,DOG,WHITE,NULL,Female,21/02/2013,20/02/2023,ILL MILD,STRAY,OTC,NULL,26/02/2023,"[2600 BLK LONG BEACH BLVD, LONG BEACH CA, 90806",LONG BEACH,EUTHANASIA,ILL SEVERE,33.8047935,-118.1889261,Alive on Intake,"33.8047935, -118.1889261",6,FALSE,TRUE,FALSE,FALSE,FALSE,0
350661,A705745,*OAKLEY,DOG,GRAY,TRICOLOR,Neutered,30/08/2021,30/08/2023,NORMAL,STRAY,OTC,NULL,03/09/2023,+2400 BLK E 15TH LONG BEACH CA 90804,LONG BEACH,ADOPTION,NULL,33.7862248,-118.1633079,Alive on Intake,"33.7862248, -118.1633079",4,FALSE,FALSE,FALSE,FALSE,TRUE,1
345367,A700840,*PIPPY,CAT,BLACK,WHITE,Male,01/06/2023,14/06/2023,UNDER AGE/WEIGHT,STRAY,OTC,NULL,15/06/2023,+4900 BLK GRISHAM AVE LONG BEACH 90805,LONG BEACH,RESCUE,LITTLEPAWS,33.8449089,-118.1940398,Alive on Intake,"33.8449089, -118.1940398",1,FALSE,FALSE,FALSE,FALSE,TRUE,1
317151,A646450,NULL,BIRD,WHITE,GRAY,Unknown,31/07/2019,31/07/2020,INJURED  MODERATE,WILDLIFE,OTC,NULL,31/07/2020,"0 7TH PL, LONG BEACH, CA 90802",LONG BEACH,RESCUE,IBR,33.7654884,-118.1760301,Alive on Intake,"33.7654884, -118.1760301",0,FALSE,FALSE,FALSE,FALSE,TRUE,1
312416,A639310,NULL,BIRD,WHITE,GRAY,Unknown,,02/02/2020,ILL SEVERE,WILDLIFE,FIELD,NULL,02/02/2020,"0 BLK TEMPLE AVE, LONG BEACH, CA 90803",LONG BEACH,TRANSFER,LBAH,33.7624598,-118.1596777,Alive on Intake,"33.7624598, -118.1596777",0,FALSE,FALSE,FALSE,FALSE,TRUE,1
301003,A618968,*MORGAN,CAT,BLACK,WHITE,Female,18/12/2014,18/12/2018,INJURED  SEVERE,STRAY,FIELD,NULL,13/01/2019,"0 BLK W ZANE ST, LONG BEACH, CA 90805",LONG BEACH,RESCUE,LITTLELION,33.8495009,-118.1949053,Alive on Intake,"33.8495009, -118.1949053",26,FALSE,FALSE,FALSE,FALSE,TRUE,1
343603,A697238,MIS,CAT,BRN TABBY,WHITE,Spayed,06/03/2023,21/04/2023,UNDER AGE/WEIGHT,STRAY,FIELD,NULL,22/04/2023,"0 BLOCK 55TH ST, LONG BEACH CA, 90805",LONG BEACH,ADOPTION,WEB,33.8559234,-118.1971768,Alive on Intake,"33.8559234, -118.1971768",1,FALSE,FALSE,FALSE,FALSE,TRUE,1
355740,A717404,NULL,BIRD,WHITE,NULL,Female,,21/03/2024,NORMAL,STRAY,OTC,NULL,27/03/2024,00 BLK 39TH PLACE LONG BEACH CA 90803,LONG BEACH,RESCUE,OTHER RESC,33.760205,-118.1477682,Alive on Intake,"33.760205, -118.1477682",6,FALSE,FALSE,FALSE,FALSE,TRUE,1
372995,A738922,KITTEN 2,CAT,TORTIE DIL,NULL,Female,03/02/2025,03/04/2025,NORMAL,STRAY,OTC,NULL,06/04/2025,"00 BLK 53RD ST, LONG BEACH, CA 90805",LONG BEACH,RESCUE,OUTRCHPAWS,33.8523872,-118.1958567,Alive on Intake,"33.8523872, -118.1958567",3,FALSE,FALSE,FALSE,FALSE,TRUE,1
372997,A738927,KITTEN 5,CAT,GRAY,WHITE,Female,03/02/2025,03/04/2025,NORMAL,STRAY,OTC,NULL,06/04/2025,"00 BLK 53RD ST, LONG BEACH, CA 90805",LONG BEACH,RESCUE,OUTRCHPAWS,33.8523872,-118.1958567,Alive on Intake,"33.8523872, -118.1958567",3,FALSE,FALSE,FALSE,FALSE,TRUE,1
342270,A673343,CHOO CHOO,DOG,BLACK,BROWN,Male,20/04/2020,01/03/2023,NORMAL,STRAY,OTC,NULL,15/04/2023,"00 BLK 65TH ST, LONG BEACH",LONG BEACH,RESCUE,GISSELLES,33.7471327,-118.1214077,Alive on Intake,"33.7471327, -118.1214077",45,FALSE,FALSE,FALSE,FALSE,TRUE,1
301140,A619226,NULL,DOG,BROWN,BLACK,Male,24/12/2017,24/12/2018,INJURED  MILD,STRAY,FIELD,NULL,30/12/2018,"00 BLK 68TH WAY, LONG BEACH, CA 90805",LONG BEACH,TRANSFER,SPCALA,33.8784962,-118.2039496,Alive on Intake,"33.8784962, -118.2039496",6,FALSE,FALSE,FALSE,FALSE,TRUE,1
371093,A737259,*SHERBERT,CAT,ORG TABBY,WHITE,Neutered,25/02/2020,23/02/2025,NORMAL,STRAY,OTC,NULL,01/03/2025,"00 BLK ANGELO WALK, LONG BEACH, CA 90803",LONG BEACH,ADOPTION,WEB,33.7523907,-118.1196922,Alive on Intake,"33.7523907, -118.1196922",6,FALSE,FALSE,FALSE,FALSE,TRUE,1
322704,A656107,NULL,BIRD,WHITE,NULL,Unknown,,10/04/2021,NORMAL,STRAY,FIELD,NULL,16/04/2021,"00 BLK BELMONT AVE, LONG BEACH, CA  90803",LONG BEACH,TRANSFER,OTHER RESC,33.7597099,-118.1451309,Alive on Intake,"33.7597099, -118.1451309",6,FALSE,FALSE,FALSE,FALSE,TRUE,1
302432,A622691,BRUNO,DOG,CREAM,NULL,Male,03/03/2018,03/03/2019,NORMAL,OWNER SURRENDER,OTC,NO TIME,04/03/2019,"00 BLK CEDAR AVE, LONG BEACH, CA 90802",LONG BEACH,TRANSFER,SPCALA,33.7670803,-118.1948981,Alive on Intake,"33.7670803, -118.1948981",1,FALSE,FALSE,FALSE,FALSE,TRUE,1
